name,gc_orgID
2010 games operating trust society,3702
aac,2222
aafc,2222
aafc-aac,2222
aandc-aadnc,2230
aboriginal business,3599
aboriginal healing foundation,3518
acc,2239
accessibility standards,2319
accessibility standards development organization,2319
accessibility standards normes accessibilite,2319
acfc,2259
acfc-fcac.gc.ca,2259
acia,2306
aco,2244
acoa,2244
acoa-apeca,2244
acoa-apeca.gc.ca,2244
acsta-catsa.gc.ca,3655
administration aeroport international halifax,3467
administration aeroport international ottawa,3482
administration aeroport vancouver,3510
administration aeroportuaire calgary,3441
administration canadienne surete transport aerien,3655
administration pilotage atlantique,3654
administration pilotage grands lacs,3656
administration pilotage laurentides,3657
administration pilotage pacifique,3659
administration pilotage pacifique pacific pilotage authority,3659
administration pipe-line nord,2268
administration pont blue water,3665
administration portuaire belledune,3439
administration portuaire halifax,3468
administration portuaire hamilton,3469
administration portuaire montreal,3477
administration portuaire nanaimo,3478
administration portuaire oshawa,3481
administration portuaire port alberni,3486
administration portuaire prince rupert,3489
administration portuaire quebec,3490
administration portuaire saguenay,3493
administration portuaire saint john,3495
administration portuaire sept-iles,3497
administration portuaire st john s,3500
administration portuaire st. john s,3500
administration portuaire thunder bay,3504
administration portuaire toronto,3506
administration portuaire trois-rivieres,3507
administration portuaire vancouver fraser,3509
administration portuaire windsor,3514
administration retablissement agricole prairies,3419
administration surete transport aerien,3655
administrative tribunals support service,2297
administrative tribunals support service service canadien appui tribunaux administratifs,2297
aec,3703
aecl.ca,3649
aeic,2245
aeic-iaac.gc.ca,2245
aeroport quebec,3435
aeroports montreal,3436
affaires intergouvernementales,3574
affaires mondiales,2227
affaires mondiales global affairs,2227
african development bank,3399
agence canadienne controle procreation assistee,3664
agence canadienne developpement economique nord,2249
agence canadienne developpement economique nord canadian northern economic development agency,2249
agence canadienne developpement international,3684
agence canadienne inspection aliments,2306
agence canadienne inspection aliments canadian food inspection agency,2306
agence canadienne medicaments technologies sante acmts,3450
agence canadienne pari mutuel,3538
agence canadienne pour incitation reduction emissions,2301
agence consommation en matiere financiere,2259
agence consommation en matiere financiere financial consumer agency,2259
agence controle procreation assistee,3664
agence developpement economique nord,2249
agence developpement international,3684
agence eau,3703
agence eau water agency,3703
agence evaluation impact,2245
agence evaluation impact impact assessment agency,2245
agence federale developpement economique pour nord ontario,2299
agence federale developpement economique pour nord ontario federal economic development agency for northern ontario,2299
